,Nombre,Precio,Var.,Max.,Min.,Fecha
0,ACCIONA,"143,2000","-0,90","147,2000","143,1000",2021-09-30 22:57:58.323477
1,ACERINOX,"11,0900","-1,11","11,3850","11,0500",2021-09-30 22:57:58.330019
2,ACS,"23,4500","-0,72","23,9800","23,3600",2021-09-30 22:57:58.332621
3,AENA,"149,3000","0,27","150,3000","145,9500",2021-09-30 22:57:58.338722
4,ALMIRALL,"13,7200","1,03","13,7700","13,5900",2021-09-30 22:57:58.342724
5,AMADEUS,"56,8800","-1,32","58,2200","56,2600",2021-09-30 22:57:58.345724
6,ARCELORMIT.,"26,4250","2,11","26,5500","26,0300",2021-09-30 22:57:58.348738
7,B.SANTANDER,"3,1365","-0,63","3,1940","3,1210",2021-09-30 22:57:58.351726
8,BA.SABADELL,"0,7256","-0,14","0,7434","0,7118",2021-09-30 22:57:58.358816
9,BANKINTER,"5,0680","0,12","5,1140","5,0380",2021-09-30 22:57:58.363477
10,BBVA,"5,7170","-0,44","5,8120","5,7000",2021-09-30 22:57:58.366481
11,CAIXABANK,"2,6840","-0,81","2,7260","2,6680",2021-09-30 22:57:58.370480
12,CELLNEX,"53,3000","0,45","54,2200","53,0200",2021-09-30 22:57:58.375480
13,CIE AUTOMOT.,"21,7800","-1,45","22,2000","21,5600",2021-09-30 22:57:58.378542
14,ENAGAS,"19,2050","0,18","19,3500","19,1500",2021-09-30 22:57:58.380471
15,ENDESA,"17,4200","-2,46","18,0000","17,4200",2021-09-30 22:57:58.384082
16,FERROVIAL,"25,2300","-1,06","25,9000","25,0400",2021-09-30 22:57:58.388084
17,FLUIDRA,"34,4500","1,32","34,6000","34,1000",2021-09-30 22:57:58.393084
18,GRIFOLS CL.A,"21,0800","-2,95","21,8100","20,6700",2021-09-30 22:57:58.396086
19,IAG,"2,0800","-3,39","2,1780","2,0500",2021-09-30 22:57:58.399085
20,IBERDROLA,"8,6840","-2,80","8,9960","8,6840",2021-09-30 22:57:58.401629
21,INDITEX,"31,8200","-1,15","32,6300","31,8200",2021-09-30 22:57:58.404683
22,INDRA A,"9,2800","1,37","9,4500","9,2200",2021-09-30 22:57:58.410008
23,INM.COLONIAL,"8,3800","-0,59","8,5900","8,3800",2021-09-30 22:57:58.413008
24,MAPFRE,"1,8850","-0,37","1,9140","1,8810",2021-09-30 22:57:58.420010
25,MELIA HOTELS,"6,4300","-3,16","6,7160","6,4000",2021-09-30 22:57:58.424011
26,MERLIN,"8,8720","-1,71","9,2580","8,8720",2021-09-30 22:57:58.426700
27,NATURGY,"21,7500","-0,73","21,9800","21,7300",2021-09-30 22:57:58.430948
28,PHARMA MAR,"74,4800","0,11","76,9000","74,0800",2021-09-30 22:57:58.434948
29,R.E.C.,"17,3100","0,23","17,3950","17,2450",2021-09-30 22:57:58.437949
30,REPSOL,"11,2980","0,46","11,3800","11,1260",2021-09-30 22:57:58.442951
31,SIEMENS GAME,"22,0200","-1,26","22,6900","21,8300",2021-09-30 22:57:58.445950
32,SOLARIA,"13,6750","-5,17","14,5800","13,5700",2021-09-30 22:57:58.448009
33,TELEFONICA,"4,0470","-0,87","4,1145","4,0385",2021-09-30 22:57:58.450994
34,VISCOFAN,"56,5500","-1,14","57,7500","56,5000",2021-09-30 22:57:58.454861
