Open,High,Low,Close,Volume,Dividends,Stock Splits
4.349999904632568,4.489999771118164,4.340000152587891,4.409999847412109,838000,0,0
4.5,4.619999885559082,4.5,4.570000171661377,1186200,0,0
4.639999866485596,4.929999828338623,4.630000114440918,4.840000152587891,2186500,0,0
4.849999904632568,5.03000020980835,4.769999980926514,5.0,1593700,0,0
4.980000019073486,5.0,4.880000114440918,4.909999847412109,983600,0,0
4.96999979019165,5.130000114440918,4.949999809265137,5.070000171661377,1014700,0,0
5.079999923706055,5.260000228881836,4.920000076293945,5.199999809265137,1893800,0,0
5.210000038146973,5.289999961853027,5.139999866485596,5.210000038146973,1926400,0,0
5.210000038146973,5.269999980926514,5.019999980926514,5.039999961853027,1853000,0,0
5.090000152587891,5.170000076293945,5.010000228881836,5.050000190734863,1131300,0,0
5.050000190734863,5.050000190734863,4.909999847412109,4.940000057220459,736900,0,0
4.980000019073486,5.369999885559082,4.920000076293945,5.320000171661377,2472000,0,0
5.300000190734863,5.429999828338623,5.119999885559082,5.199999809265137,2139200,0,0
5.190000057220459,5.420000076293945,5.130000114440918,5.260000228881836,1950000,0,0
5.360000133514404,5.369999885559082,5.099999904632568,5.150000095367432,1669500,0,0
5.619999885559082,5.860000133514404,5.380000114440918,5.420000076293945,5191200,0,0
5.460000038146973,5.5,5.239999771118164,5.349999904632568,1383500,0,0
5.409999847412109,5.510000228881836,5.269999980926514,5.349999904632568,1403000,0,0
5.360000133514404,5.429999828338623,5.110000133514404,5.349999904632568,1361900,0,0
5.239999771118164,5.289999961853027,5.110000133514404,5.179999828338623,2125800,0,0
5.03000020980835,5.03000020980835,4.730000019073486,4.860000133514404,2416200,0,0
4.960000038146973,4.96999979019165,4.630000114440918,4.699999809265137,1681800,0,0
4.769999980926514,4.860000133514404,4.619999885559082,4.659999847412109,1887800,0,0
4.639999866485596,4.710000038146973,4.579999923706055,4.630000114440918,1226700,0,0
4.579999923706055,4.639999866485596,4.460000038146973,4.53000020980835,1529400,0,0
4.610000133514404,4.71999979019165,4.539999961853027,4.550000190734863,2619100,0,0
4.610000133514404,4.730000019073486,4.510000228881836,4.579999923706055,1440100,0,0
4.559999942779541,4.670000076293945,4.489999771118164,4.53000020980835,1163000,0,0
4.570000171661377,4.760000228881836,4.550000190734863,4.659999847412109,1619500,0,0
4.679999828338623,4.744999885559082,4.614999771118164,4.670000076293945,1113255,0,0
